artist_id,fecha_prediccion,royalties_forecast
A01,2025-04-01,2318.768798828125
A01,2025-05-01,2973.432861328125
A01,2025-06-01,2725.994384765625
A01,2025-07-01,3430.2587890625
A01,2025-08-01,4239.2998046875
A01,2025-09-01,5199.60400390625
A02,2025-04-01,6849.5322265625
A02,2025-05-01,6859.5244140625
A02,2025-06-01,6841.22607421875
A02,2025-07-01,6833.91845703125
A02,2025-08-01,7023.01416015625
A02,2025-09-01,7214.572265625
A03,2025-04-01,661514.25
A03,2025-05-01,630344.3125
A03,2025-06-01,639101.6875
A03,2025-07-01,644877.8125
A03,2025-08-01,657780.5
A03,2025-09-01,660055.5625
A04,2025-04-01,2147.95458984375
A04,2025-05-01,2204.46142578125
A04,2025-06-01,2313.607666015625
A04,2025-07-01,2418.70849609375
A04,2025-08-01,2524.80615234375
A04,2025-09-01,2630.176513671875
A05,2025-04-01,330143.78125
A05,2025-05-01,334808.25
A05,2025-06-01,330846.3125
A05,2025-07-01,347849.25
A05,2025-08-01,368425.75
A05,2025-09-01,389011.40625
A06,2025-04-01,145543.703125
A06,2025-05-01,144310.96875
A06,2025-06-01,148342.8125
A06,2025-07-01,152746.671875
A06,2025-08-01,157955.296875
A06,2025-09-01,163479.875
A07,2025-04-01,911569.5625
A07,2025-05-01,943534.1875
A07,2025-06-01,1021685.625
A07,2025-07-01,1046657.0
A07,2025-08-01,996658.25
A07,2025-09-01,872272.4375
A08,2025-04-01,22137.212890625
A08,2025-05-01,24303.04296875
A08,2025-06-01,28746.671875
A08,2025-07-01,36519.296875
A08,2025-08-01,45856.89453125
A08,2025-09-01,56264.29296875
A09,2025-04-01,15261.6484375
A09,2025-05-01,15202.23046875
A09,2025-06-01,15008.0400390625
A09,2025-07-01,15022.2802734375
A09,2025-08-01,15038.078125
A09,2025-09-01,15055.3232421875
A10,2025-04-01,11969.0478515625
A10,2025-05-01,12340.291015625
A10,2025-06-01,12965.8857421875
A10,2025-07-01,13881.353515625
A10,2025-08-01,15240.0537109375
A10,2025-09-01,16640.630859375
A11,2025-04-01,5416.81201171875
A11,2025-05-01,5133.5205078125
A11,2025-06-01,5054.92822265625
A11,2025-07-01,5174.0478515625
A11,2025-08-01,5443.283203125
A11,2025-09-01,5766.40576171875
A12,2025-04-01,1883.3182373046875
A12,2025-05-01,1882.9530029296875
A12,2025-06-01,1864.0987548828125
A12,2025-07-01,1877.5614013671875
A12,2025-08-01,1912.297607421875
A12,2025-09-01,1974.6778564453125
A13,2025-04-01,563776.6875
A13,2025-05-01,589931.875
A13,2025-06-01,574793.875
A13,2025-07-01,568530.9375
A13,2025-08-01,600279.0625
A13,2025-09-01,602606.125
A14,2025-04-01,400566.09375
A14,2025-05-01,404193.65625
A14,2025-06-01,397989.0625
A14,2025-07-01,400172.125
A14,2025-08-01,453374.5625
A14,2025-09-01,527694.375
A15,2025-04-01,451765.46875
A15,2025-05-01,444397.96875
A15,2025-06-01,443146.0
A15,2025-07-01,430794.5
A15,2025-08-01,422948.03125
A15,2025-09-01,434527.96875
