artist_id,fecha_prediccion,royalties_forecast,lower_ci,upper_ci
A01,2025-04-01,2832.48691978801,2832.4822590638146,2832.4911026432874
A01,2025-05-01,2105.611920665453,2105.5937734955155,2105.627737889445
A01,2025-06-01,1026.9865632053563,1026.9385030733492,1027.0271235706557
A01,2025-07-01,-1703.5013170041716,-1703.637680456441,-1703.3892498157097
A01,2025-08-01,-2584.972501895702,-2585.0650358641906,-2584.895817907948
A01,2025-09-01,-719.8174845582647,-719.8369588213668,-719.8011497570495
A02,2025-04-01,13646.78366274187,13633.460383083302,13659.111730152343
A02,2025-05-01,817.2615798351785,814.8887398433714,819.5073222272374
A02,2025-06-01,2911.216826469992,2895.9139948987636,2925.812257727366
A02,2025-07-01,-2914.557167245595,-2936.6871395159587,-2890.8389069600175
A02,2025-08-01,7046.449901577409,6969.535438434345,7122.1099475175815
A02,2025-09-01,-10430.987981041924,-10576.081127532856,-10284.480394579738
A03,2025-04-01,4443796.914899025,4442929.4472895805,4444645.047102485
A03,2025-05-01,5397930.0188608905,5395499.684850689,5400546.448656428
A03,2025-06-01,2950832.796262284,2946327.180072971,2955617.424264799
A03,2025-07-01,2679927.2114002444,2673100.918801601,2686868.5283044674
A03,2025-08-01,3957797.8908014093,3948391.6755254976,3967157.463741338
A03,2025-09-01,3608117.784888475,3595298.4509312036,3620355.3697232823
A04,2025-04-01,5297.813947148877,5296.346457269001,5299.129943041541
A04,2025-05-01,-2799.166246759589,-2801.3584957632106,-2796.879860660743
A04,2025-06-01,-3949.0008840756755,-3954.213710641837,-3943.4362336973704
A04,2025-07-01,-16226.664983946586,-16259.949152365929,-16190.726392190558
A04,2025-08-01,-6903.852943873969,-6922.866964654644,-6884.051997222243
A04,2025-09-01,1851.0194775366322,1844.2058056686317,1857.378132328294
A05,2025-04-01,245075.85750579706,226314.55105310818,263890.6979080775
A05,2025-05-01,247709.1481525569,229154.36218810556,266863.6013931648
A05,2025-06-01,186010.92182923702,166749.2240199881,205466.22953131632
A05,2025-07-01,142828.65289257784,122538.61470653824,160922.3891515307
A05,2025-08-01,226703.76547718837,208164.99166761676,246122.04187481562
A05,2025-09-01,221097.80489199562,201614.8816547999,239805.71043869687
A06,2025-04-01,37056.95500853104,36965.98528660161,37153.812044785176
A06,2025-05-01,143511.56743288742,143234.3341819355,143815.80527688502
A06,2025-06-01,199712.6021285465,199130.76420700608,200308.77848012003
A06,2025-07-01,304327.84915726614,303425.83043595054,305267.1214656624
A06,2025-08-01,39816.90988385136,38556.18893845328,41093.17541659453
A06,2025-09-01,-128505.090988796,-130178.3849686868,-126803.72937846511
A07,2025-04-01,747353.1410111712,724091.3915139199,769292.2470173619
A07,2025-05-01,752509.4710242271,729901.3945663198,775531.2051967018
A07,2025-06-01,686488.9102532059,664024.2419127505,709963.7520271656
A07,2025-07-01,698769.7164452594,677000.6906051544,721318.2937512493
A07,2025-08-01,935287.4002602386,912479.5633221997,957351.6234460785
A07,2025-09-01,738826.4713294457,715294.2227971258,760248.9822156075
A08,2025-04-01,15640.787701966892,15640.738265816728,15640.835391951201
A08,2025-05-01,3365.2173650543,3365.1755174616387,3365.2580608734092
A08,2025-06-01,3194.135283416698,3194.0262872275744,3194.240839364969
A08,2025-07-01,-4507.187808007357,-4507.578020764472,-4506.810066287341
A08,2025-08-01,-12.218033556839664,-12.222670916139169,-12.213649525217601
A08,2025-09-01,-1834.4547498792936,-1835.2357379831597,-1833.64110192537
A09,2025-04-01,-12687.675515446128,-12687.703296241954,-12687.647690707458
A09,2025-05-01,1542.4560522227725,1542.4445505851652,1542.467379190552
A09,2025-06-01,15874.218954207065,15873.967098391318,15874.474030248373
A09,2025-07-01,28362.97276531506,28362.176369065466,28363.795032162718
A09,2025-08-01,3427.045344038028,3426.8864820142626,3427.20967681117
A09,2025-09-01,-1876.5542027975155,-1876.691519870718,-1876.422689155382
A10,2025-04-01,11602.182205652165,11602.154971255482,11602.21170666499
A10,2025-05-01,12142.57333375537,12142.476767115151,12142.68072901133
A10,2025-06-01,8951.943900780301,8951.788781675552,8952.11012516638
A10,2025-07-01,6474.0365361695385,6473.8204414606535,6474.248142115148
A10,2025-08-01,6878.125604315187,6877.727798707331,6878.506219362125
A10,2025-09-01,3725.8215464733935,3725.4524943683114,3726.186994331185
A11,2025-04-01,2958.3133238522514,-1223.4019316452222,7315.749795050794
A11,2025-05-01,4069.034691427234,99.60184701346495,8220.19776925983
A11,2025-06-01,2358.115566053846,-1805.1952110805048,6309.877181813071
A11,2025-07-01,1076.2186179433866,-3211.835523940437,5069.965559715184
A11,2025-08-01,-813.2307200029865,-4808.085216924488,3527.348678836327
A11,2025-09-01,-1801.5348165872285,-5822.835791058206,2454.51111256641
A12,2025-04-01,1556.6312854497462,1449.4333069268637,1672.1451606582486
A12,2025-05-01,1831.0053053031725,1717.732123041801,1938.9572305868617
A12,2025-06-01,1321.963745567323,1210.7518455574539,1432.230461263006
A12,2025-07-01,1054.8552307958162,938.1242311386134,1166.7265932646592
A12,2025-08-01,1268.3317777064728,1156.8498498501974,1375.6097473356979
A12,2025-09-01,1252.0230207886902,1136.3509830164971,1359.695360770959
A13,2025-04-01,790688.1621960625,720292.5776903599,859225.9643321998
A13,2025-05-01,406031.9067290984,333396.14290070505,475852.6179017157
A13,2025-06-01,280139.73806542857,208680.88950918187,351133.461059326
A13,2025-07-01,-1362035.810217062,-1434399.3948996987,-1292230.8948248418
A13,2025-08-01,358942.142449907,288918.193262988,429226.350286774
A13,2025-09-01,1868642.7118993415,1794599.4525614919,1938387.456676895
A14,2025-04-01,343306.61977352196,343099.7063124012,343470.7284912321
A14,2025-05-01,281096.1602844474,280592.9232746841,281533.72174957464
A14,2025-06-01,383125.5908076196,381941.9673770272,384265.26740659744
A14,2025-07-01,185097.07642967574,184224.2025214375,185933.47242705896
A14,2025-08-01,365504.8332022813,363178.80894815945,367741.3809847086
A14,2025-09-01,552811.5322519112,548227.3088550196,557273.2582218553
A15,2025-04-01,436252.2944228007,422726.18718051916,449940.24393917614
A15,2025-05-01,479892.6652766911,465917.441380519,494409.13981042505
A15,2025-06-01,464491.9302388406,450974.88779467816,478951.1886351462
A15,2025-07-01,480685.08567425393,466899.8575146703,495084.4089262624
A15,2025-08-01,495415.6821963691,480464.42354005564,509088.41950308275
A15,2025-09-01,455280.91202669847,440903.5506762332,469069.94517659076
